FileName,RetractionReason
276.pdf,Other Reasons
1053.pdf,Other Reasons
1251.pdf,Coding/Data Analysis Error
15.pdf,Other Reasons
458.pdf,Other Reasons
1133.pdf,Other Reasons
317.pdf,Coding/Data Analysis Error
698.pdf,Other Reasons
14.pdf,Other Reasons
897.pdf,Other Reasons
129.pdf,Other Reasons
667.pdf,Other Reasons
1052.pdf,Other Reasons
263.pdf,Coding/Data Analysis Error
1095.pdf,Other Reasons
515.pdf,Other Reasons
298.pdf,Other Reasons
703.pdf,Other Reasons
1268.pdf,Coding/Data Analysis Error
930.pdf,Other Reasons
887.pdf,Other Reasons
677.pdf,Other Reasons
688.pdf,Other Reasons
850.pdf,Other Reasons
844.pdf,Other Reasons
306.pdf,Other Reasons
845.pdf,Coding/Data Analysis Error
689.pdf,Other Reasons
104.pdf,Other Reasons
886.pdf,Coding/Data Analysis Error
716.pdf,Coding/Data Analysis Error
702.pdf,Other Reasons
1080.pdf,Other Reasons
516.pdf,Coding/Data Analysis Error
264.pdf,Other Reasons
1069.pdf,Other Reasons
1055.pdf,Other Reasons
728.pdf,Coding/Data Analysis Error
700.pdf,Other Reasons
1294.pdf,Other Reasons
933.pdf,Other Reasons
1243.pdf,Other Reasons
1121.pdf,Other Reasons
932.pdf,Coding/Data Analysis Error
1054.pdf,Coding/Data Analysis Error
265.pdf,Coding/Data Analysis Error
532.pdf,Other Reasons
730.pdf,Coding/Data Analysis Error
718.pdf,Other Reasons
644.pdf,Coding/Data Analysis Error
888.pdf,Other Reasons
693.pdf,Other Reasons
23.pdf,Coding/Data Analysis Error
485.pdf,Coding/Data Analysis Error
1105.pdf,Coding/Data Analysis Error
484.pdf,Other Reasons
36.pdf,Other Reasons
22.pdf,Coding/Data Analysis Error
1070.pdf,Other Reasons
296.pdf,Other Reasons
533.pdf,Coding/Data Analysis Error
257.pdf,Other Reasons
1258.pdf,Other Reasons
121.pdf,Other Reasons
20.pdf,Other Reasons
336.pdf,Coding/Data Analysis Error
450.pdf,Other Reasons
875.pdf,Other Reasons
35.pdf,Other Reasons
1259.pdf,Coding/Data Analysis Error
915.pdf,Other Reasons
901.pdf,Other Reasons
1271.pdf,Other Reasons
295.pdf,Other Reasons
518.pdf,Coding/Data Analysis Error
530.pdf,Other Reasons
256.pdf,Other Reasons
1077.pdf,Other Reasons
905.pdf,Coding/Data Analysis Error
911.pdf,Other Reasons
130.pdf,Other Reasons
656.pdf,Coding/Data Analysis Error
642.pdf,Coding/Data Analysis Error
1315.pdf,Coding/Data Analysis Error
483.pdf,Other Reasons
1116.pdf,Coding/Data Analysis Error
858.pdf,Coding/Data Analysis Error
1328.pdf,Other Reasons
30.pdf,Coding/Data Analysis Error
657.pdf,Coding/Data Analysis Error
119.pdf,Coding/Data Analysis Error
1062.pdf,Other Reasons
284.pdf,Other Reasons
521.pdf,Coding/Data Analysis Error
247.pdf,Other Reasons
1060.pdf,Other Reasons
866.pdf,Coding/Data Analysis Error
32.pdf,Other Reasons
457.pdf,Coding/Data Analysis Error
1128.pdf,Other Reasons
1114.pdf,Other Reasons
1115.pdf,Coding/Data Analysis Error
318.pdf,Other Reasons
873.pdf,Other Reasons
867.pdf,Coding/Data Analysis Error
654.pdf,Coding/Data Analysis Error
126.pdf,Other Reasons
1263.pdf,Other Reasons
734.pdf,Other Reasons
708.pdf,Other Reasons
1061.pdf,Other Reasons
244.pdf,Coding/Data Analysis Error
545.pdf,Other Reasons
1006.pdf,Coding/Data Analysis Error
592.pdf,Other Reasons
753.pdf,Coding/Data Analysis Error
790.pdf,Coding/Data Analysis Error
97.pdf,Coding/Data Analysis Error
169.pdf,Other Reasons
182.pdf,Other Reasons
828.pdf,Other Reasons
800.pdf,Other Reasons
6.pdf,Coding/Data Analysis Error
425.pdf,Other Reasons
431.pdf,Coding/Data Analysis Error
356.pdf,Other Reasons
7.pdf,Coding/Data Analysis Error
41.pdf,Other Reasons
69.pdf,Coding/Data Analysis Error
168.pdf,Coding/Data Analysis Error
1007.pdf,Other Reasons
578.pdf,Other Reasons
544.pdf,Coding/Data Analysis Error
208.pdf,Other Reasons
1213.pdf,Coding/Data Analysis Error
977.pdf,Other Reasons
630.pdf,Other Reasons
181.pdf,Other Reasons
354.pdf,Other Reasons
426.pdf,Coding/Data Analysis Error
368.pdf,Other Reasons
383.pdf,Other Reasons
382.pdf,Other Reasons
1164.pdf,Other Reasons
369.pdf,Other Reasons
4.pdf,Coding/Data Analysis Error
56.pdf,Other Reasons
157.pdf,Other Reasons
779.pdf,Coding/Data Analysis Error
989.pdf,Other Reasons
745.pdf,Coding/Data Analysis Error
1038.pdf,Other Reasons
1010.pdf,Coding/Data Analysis Error
580.pdf,Other Reasons
741.pdf,Other Reasons
796.pdf,Coding/Data Analysis Error
85.pdf,Other Reasons
153.pdf,Other Reasons
812.pdf,Other Reasons
806.pdf,Other Reasons
190.pdf,Coding/Data Analysis Error
184.pdf,Other Reasons
1148.pdf,Other Reasons
386.pdf,Other Reasons
1175.pdf,Other Reasons
387.pdf,Other Reasons
84.pdf,Coding/Data Analysis Error
797.pdf,Coding/Data Analysis Error
230.pdf,Other Reasons
568.pdf,Other Reasons
226.pdf,Other Reasons
742.pdf,Other Reasons
795.pdf,Other Reasons
178.pdf,Coding/Data Analysis Error
636.pdf,Other Reasons
45.pdf,Coding/Data Analysis Error
1349.pdf,Other Reasons
51.pdf,Coding/Data Analysis Error
346.pdf,Other Reasons
420.pdf,Other Reasons
385.pdf,Other Reasons
384.pdf,Other Reasons
347.pdf,Coding/Data Analysis Error
192.pdf,Coding/Data Analysis Error
44.pdf,Other Reasons
637.pdf,Other Reasons
958.pdf,Coding/Data Analysis Error
964.pdf,Coding/Data Analysis Error
